Bevoelkerung nach Geburtslaendern, Staatsangehoerigkeit und Migrationshintergrund, 2012-2022 | population by place of birth, citizenship and migrational background by LAU2, 2012-2022;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;LAU2_CODE;LAU2_NAME;POP_TOTAL;BORN_AUT;BORN_FOR;NATIONALITY_AUT;NATIONALITY_FOR;MIG_BACKGROUND;YEAR
AT1;AT12;AT124;30101;Krems an der Donau;24047;20754;3293;21645;2402;3636;2012
AT1;AT12;AT123;30201;St. Pölten;51932;43316;8616;45472;6460;9844;2012
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;11438;10666;772;10896;542;861;2012
AT1;AT12;AT122;30401;Wiener Neustadt;41386;33438;7948;36282;5104;8814;2012
AT1;AT12;AT121;30501;Allhartsberg;2020;1964;56;1994;26;58;2012
AT1;AT12;AT121;30502;Amstetten;22815;20158;2657;20809;2006;3003;2012
AT1;AT12;AT121;30503;Ardagger;3362;3241;121;3275;87;129;2012
AT1;AT12;AT121;30504;Aschbach-Markt;3662;3403;259;3448;214;299;2012
AT1;AT12;AT121;30506;Behamberg;3251;3099;152;3142;109;171;2012
AT1;AT12;AT121;30507;Biberbach;2208;2144;64;2167;41;65;2012
AT1;AT12;AT121;30508;Ennsdorf;2919;2516;403;2665;254;438;2012
AT1;AT12;AT121;30509;Ernsthofen;2187;2090;97;2122;65;106;2012
AT1;AT12;AT121;30510;Ertl;1299;1265;34;1276;23;35;2012
AT1;AT12;AT121;30511;Euratsfeld;2532;2487;45;2497;35;52;2012
AT1;AT12;AT121;30512;Ferschnitz;1674;1655;19;1667;7;20;2012
AT1;AT12;AT121;30514;Haag;5408;5179;229;5238;170;262;2012
AT1;AT12;AT121;30515;Haidershofen;3564;3431;133;3463;101;152;2012
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;1729;1654;75;1683;46;80;2012
AT1;AT12;AT121;30517;Kematen an der Ybbs;2473;2209;264;2273;200;305;2012
AT1;AT12;AT121;30520;Neuhofen an der Ybbs;2818;2744;74;2753;65;85;2012
AT1;AT12;AT121;30521;Neustadtl an der Donau;2084;2054;30;2065;19;30;2012
AT1;AT12;AT121;30522;Oed-Oehling;1703;1628;75;1643;60;87;2012
AT1;AT12;AT121;30524;Opponitz;987;911;76;913;74;82;2012
AT1;AT12;AT121;30526;St. Georgen am Reith;578;563;15;565;13;16;2012
AT1;AT12;AT121;30527;St. Georgen am Ybbsfelde;2746;2582;164;2622;124;182;2012
AT1;AT12;AT121;30529;St. Pantaleon-Erla;2527;2414;113;2448;79;127;2012
AT1;AT12;AT121;30530;St. Peter in der Au;5034;4852;182;4916;118;197;2012
AT1;AT12;AT121;30531;St. Valentin;9217;8495;722;8729;488;803;2012
AT1;AT12;AT121;30532;Seitenstetten;3265;3126;139;3154;111;158;2012
